GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
birch-bridge-jms-kafka,org.birchframework.bridge.jmstemplate,JMSTemplateConfigurer,185,0,0,0,19,0,3,0,3,0
birch-bridge-jms-kafka,org.birchframework.bridge.dataformat,ServiceMessageDataFormat,18,8,0,0,5,4,2,3,2,3
birch-bridge-jms-kafka,org.birchframework.bridge.dataformat,PayloadDataFormat,30,243,3,9,5,32,6,18,3,15
birch-bridge-jms-kafka,org.birchframework.bridge,ServiceMessageDTO,26,0,0,0,5,0,6,0,6,0
birch-bridge-jms-kafka,org.birchframework.bridge,ProcessingException,9,0,0,0,4,0,2,0,2,0
birch-bridge-jms-kafka,org.birchframework.bridge,BaseMessageProducerApplication,257,0,13,0,56,0,19,0,12,0
birch-bridge-jms-kafka,org.birchframework.bridge,MappingException,9,0,0,0,4,0,2,0,2,0
birch-bridge-jms-kafka,org.birchframework.bridge,BridgeAutoConfiguration,171,468,6,8,21,107,19,16,13,15
birch-bridge-jms-kafka,org.birchframework.bridge,BridgeRoutePolicy,0,17,0,0,0,5,0,3,0,3
birch-bridge-jms-kafka,org.birchframework.bridge,DefaultJMSListenerContainerErrorHandler,17,0,0,0,5,0,2,0,2,0
birch-bridge-jms-kafka,org.birchframework.bridge,AbstractBridgeFactory,330,140,34,7,61,36,26,7,5,7
birch-bridge-jms-kafka,org.birchframework.bridge,JMSToKafkaBridgeFactory,60,344,9,9,3,52,10,5,1,5
birch-bridge-jms-kafka,org.birchframework.bridge,JMSSourceProcessor,109,151,19,9,22,32,24,13,9,13
birch-bridge-jms-kafka,org.birchframework.bridge,KafkaToJMSBridgeFactory,401,10,18,0,53,4,14,1,5,1
birch-bridge-jms-kafka,org.birchframework.bridge,TransactedPolicyType,0,45,0,0,0,6,0,4,0,4
birch-bridge-jms-kafka,org.birchframework.bridge,BridgeFactoriesConfiguration,0,17,0,0,0,3,0,3,0,3
birch-bridge-jms-kafka,org.birchframework.bridge,KafkaSourceProcessor,142,0,8,0,25,0,17,0,13,0
