GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
birch-common,org.birchframework.framework.regex,ParseException,9,0,0,0,4,0,2,0,2,0
birch-common,org.birchframework.framework.regex,Parser.ParseClassDescriptor,0,28,0,0,0,5,0,4,0,4
birch-common,org.birchframework.framework.regex,Parser,35,212,7,7,7,48,7,17,0,17
birch-common,org.birchframework.framework.regex,Parser.FieldDescriptor,0,9,0,0,0,4,0,1,0,1
birch-common,org.birchframework.framework.text.jms,JMSMessage,0,15,0,0,0,3,0,3,0,3
birch-common,org.birchframework.framework.text.jms,JMSMessageMarshaller,8,117,2,13,2,34,3,11,1,3
birch-common,org.birchframework.framework.text.jms,JMSMessageMarshallerException,5,4,0,0,2,2,1,1,1,1
birch-common,org.birchframework.dto.payload,Payload,162,0,4,0,33,0,38,0,36,0
birch-common,org.birchframework.dto.payload,KafkaConsumerError,18,0,0,0,8,0,4,0,4,0
birch-common,org.birchframework.dto.payload,DestinationType,37,0,0,0,7,0,3,0,3,0
birch-common,org.birchframework.dto.payload,Destination,57,0,3,0,18,0,11,0,9,0
birch-common,org.birchframework.dto.payload,PropertyValue,201,0,29,0,63,0,38,0,20,0
birch-common,org.birchframework.dto.payload,PropertyValue.PropertyType,138,0,0,0,15,0,7,0,7,0
birch-common,org.birchframework.framework.metric,RateGauge.RateGaugeBuilder,68,0,4,0,1,0,10,0,8,0
birch-common,org.birchframework.framework.metric,RateGauge,147,0,10,0,22,0,16,0,11,0
birch-common,org.birchframework.framework.jackson,ErrorCodeDeserializer,55,0,6,0,15,0,6,0,3,0
birch-common,org.birchframework.dto,BirchErrorCode,6,690,0,0,2,63,2,4,2,4
birch-common,org.birchframework.dto,ContextMapKeys,26,0,0,0,4,0,1,0,1,0
birch-common,org.birchframework.dto,ErrorCode,41,0,0,0,9,0,3,0,3,0
birch-common,org.birchframework.dto,Spannable,2,31,1,1,1,5,1,2,0,2
birch-common,org.birchframework.dto,BirchComponent,0,64,0,0,0,7,0,1,0,1
birch-common,org.birchframework.dto,ErrorResponse,47,11,2,0,8,4,6,1,5,1
birch-common,org.birchframework.framework.beans,Beans,352,242,48,20,78,45,49,16,21,10
birch-common,org.birchframework.framework.beans,MappingAutoConfiguration,25,0,2,0,8,0,4,0,3,0
birch-common,org.birchframework.framework.logging.logback,DateConverter,12,59,4,4,2,15,5,3,1,3
birch-common,org.birchframework.framework.logging.logback,PatternLayoutEncoder,0,16,0,0,0,4,0,2,0,2
birch-common,org.birchframework.configuration,BirchProperties.BridgeProperties.BridgeSource,24,0,0,0,3,0,1,0,1,0
birch-common,org.birchframework.configuration,BirchProperties.Actuator,15,0,0,0,3,0,3,0,3,0
birch-common,org.birchframework.configuration,BirchProperties.BridgeProperties,136,0,0,0,16,0,26,0,26,0
birch-common,org.birchframework.configuration,BirchProperties.JMSSourceProperties,150,0,6,0,20,0,26,0,23,0
birch-common,org.birchframework.configuration,BirchProperties.OpenAPI.Feature,104,0,0,0,14,0,24,0,24,0
birch-common,org.birchframework.configuration,BirchProperties.Kafka.SASL,23,0,0,0,5,0,6,0,6,0
birch-common,org.birchframework.configuration,BirchProperties.OAuth2,40,0,0,0,6,0,7,0,7,0
birch-common,org.birchframework.configuration,BirchProperties.Security,30,0,0,0,4,0,4,0,4,0
birch-common,org.birchframework.configuration,BirchProperties.BridgeProperties.BridgeType,34,0,0,0,4,0,1,0,1,0
birch-common,org.birchframework.configuration,ConfigurationException,9,0,0,0,4,0,2,0,2,0
birch-common,org.birchframework.configuration,BirchProperties.OpenAPI,15,0,0,0,3,0,3,0,3,0
birch-common,org.birchframework.configuration,BirchProperties.Security.CORS,17,0,0,0,4,0,4,0,4,0
birch-common,org.birchframework.configuration,BirchProperties.Kafka.KafkaAdmin,91,0,0,0,12,0,17,0,17,0
birch-common,org.birchframework.configuration,BirchProperties.Kafka,25,0,0,0,4,0,4,0,4,0
birch-common,org.birchframework.configuration,BirchProperties.OAuth2Mode,24,0,0,0,3,0,1,0,1,0
birch-common,org.birchframework.configuration,BirchProperties.JMSSourceProperties.JMSMessageType,54,0,0,0,6,0,1,0,1,0
birch-common,org.birchframework.configuration,BirchProperties,98,0,2,0,12,0,13,0,12,0
birch-common,org.birchframework.configuration,BirchProperties.Security.CXF,15,0,0,0,3,0,3,0,3,0
birch-common,org.birchframework.configuration,IdPClassifiable,3,0,0,0,1,0,1,0,1,0
birch-common,org.birchframework.configuration,BirchProperties.Kafka.Sender,30,0,0,0,5,0,6,0,6,0
birch-common,org.birchframework.configuration,BirchProperties.Internationalization,26,0,0,0,5,0,6,0,6,0
birch-common,org.birchframework.configuration,BirchProperties.IdPRealm,321,0,6,0,30,0,62,0,59,0
birch-common,org.birchframework.configuration,BirchProperties.BridgesGlobalConfigs,79,0,0,0,10,0,17,0,17,0
birch-common,org.birchframework.configuration,BirchProperties.KafkaSourceProperties,41,0,0,0,7,0,10,0,10,0
birch-common,org.birchframework.framework.cli,CommandLineApplicationException,9,0,0,0,4,0,2,0,2,0
birch-common,org.birchframework.framework.cli,AbstractCommandLineApplication,147,0,4,0,30,0,16,0,14,0
birch-common,org.birchframework.framework.logging,LoggingAspectAutoConfiguration,7,0,0,0,2,0,2,0,2,0
birch-common,org.birchframework.framework.logging,LoggingAspect,151,0,6,0,53,0,29,0,26,0
birch-common,org.birchframework.framework.exception,BaseException,53,0,4,0,14,0,10,0,8,0
birch-common,org.birchframework.framework.exception,BaseRuntimeException,42,11,4,0,9,5,8,2,6,2
birch-common,org.birchframework.framework.marshall,MarshallUtils,213,238,13,5,57,70,12,17,4,16
birch-common,org.birchframework.framework.marshall,MarshallingError,9,0,0,0,4,0,2,0,2,0
birch-common,org.birchframework.framework.date,DateUtils,63,0,4,0,21,0,9,0,7,0
birch-common,org.birchframework.framework.function,AlwaysTruePredicate,5,0,0,0,2,0,2,0,2,0
birch-common,org.birchframework.framework.function,NoOpConsumer,4,0,0,0,2,0,2,0,2,0
birch-common,org.birchframework.framework.spring,CustomScopesAutoConfiguration,10,0,0,0,3,0,2,0,2,0
birch-common,org.birchframework.framework.spring,SpringContext,26,12,6,2,6,5,7,4,4,3
birch-common,org.birchframework.framework.stub,StubbingError,9,0,0,0,4,0,2,0,2,0
birch-common,org.birchframework.framework.stub,Stub,11,10,0,0,3,3,1,1,1,1
